,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
12,Even Flow,Ten,Pearl Jam,1991-08-27,292580,75,0.00178,0.394,0.944,4.54e-06,0.298,-6.506,0.0761,105.338,4
13,1979 - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,266200,76,0.0163,0.767,0.787,0.583,0.0513,-9.897,0.0331,126.879,4
14,Plush,Thank You,Stone Temple Pilots,2003-11-10,310400,61,0.00248,0.417,0.913,1.09e-06,0.166,-6.049,0.0441,144.591,4
15,All The Small Things,Enema Of The State,blink-182,1999-01-01,168000,1,0.0122,0.439,0.891,0.0,0.547,-4.764,0.057,148.599,4
16,Creep,Pablo Honey (Collector's Edition),Radiohead,1993-04-23,235666,0,0.00563,0.532,0.344,0.000473,0.115,-13.057,0.035,91.834,4
17,Loser,Mellow Gold,Beck,1994-03-01,235000,71,0.0337,0.654,0.611,0.000178,0.405,-10.45,0.119,85.387,4
18,Don't Speak,Tragic Kingdom,No Doubt,1995-10-10,263560,69,0.247,0.52,0.709,1.78e-05,0.18,-7.125,0.0352,76.039,4
19,When I Come Around,Dookie,Green Day,1994-02-01,178000,74,0.0175,0.531,0.909,0.0,0.231,-4.236,0.034,97.546,4
20,Self Esteem,Smash,The Offspring,1994-04-08,257826,76,0.0204,0.488,0.862,0.0,0.359,-7.595,0.0476,104.56,4
21,Jeremy,Ten,Pearl Jam,1991-08-27,318226,72,0.0404,0.285,0.846,0.0,0.182,-6.472,0.0438,108.808,4
22,High And Dry,The Bends,Radiohead,1995-03-28,257480,3,0.0718,0.418,0.383,0.0177,0.0896,-11.782,0.0257,87.773,4
23,Drive,Make Yourself,Incubus,1999-10-26,232453,74,0.0562,0.645,0.792,0.0121,0.119,-7.34,0.036,90.565,4
24,Say It Ain't So,Weezer (Deluxe Edition),Weezer,1994-05-10,256880,0,0.00328,0.635,0.435,6.78e-06,0.071,-7.521,0.031,76.098,4
25,Cryin',Get A Grip,Aerosmith,1993-01-01,308333,72,0.000202,0.445,0.856,0.0101,0.367,-3.674,0.0327,105.872,3
26,What I Got,Sublime (Deluxe Edition),Sublime,1996-07-30,171080,0,0.0149,0.79,0.687,0.000319,0.323,-7.571,0.101,95.578,4
27,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1991-09-24,282906,73,0.00244,0.666,0.936,0.086,0.153,-9.919,0.0476,91.577,4
28,November Rain,Use Your Illusion I,Guns N' Roses,1991-09-17,536066,79,0.0163,0.294,0.641,0.22,0.112,-9.316,0.0291,79.759,4
29,Longview,Dookie,Green Day,1994-02-01,233240,66,0.00834,0.381,0.732,0.0101,0.0854,-7.594,0.0536,142.504,4
30,Closer,The Downward Spiral,Nine Inch Nails,1994-03-08,373306,0,0.000365,0.559,0.725,0.553,0.112,-8.631,0.0426,90.012,4
31,Are You Gonna Go My Way,Are You Gonna Go My Way,Lenny Kravitz,1993-03-09,211933,73,0.00165,0.619,0.67,0.0109,0.331,-10.322,0.0353,129.269,4
32,Disarm - Remastered,Siamese Dream (2011 - Remaster),The Smashing Pumpkins,1993,196905,0,0.142,0.527,0.418,0.775,0.139,-10.205,0.0277,129.516,4
33,Shine,"Hints, Allegations & Things Left Unsaid",Collective Soul,1994-03-29,306040,0,0.294,0.54,0.423,0.0884,0.152,-8.799,0.0283,150.135,4
34,Don't Look Back In Anger - Remastered,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Oasis,1995-10-02,289559,0,0.0596,0.333,0.922,2.05e-06,0.126,-4.087,0.0592,162.978,4
35,Sabotage,Ill Communication,Beastie Boys,1994-05-23,178440,73,0.032,0.324,0.938,0.0321,0.0961,-7.332,0.102,168.131,4
36,Machinehead,Sixteen Stone (Remastered),Bush,1994-12-06,256333,0,2.84e-05,0.137,0.916,0.00403,0.127,-4.429,0.101,178.065,3
37,Come Out and Play,Smash [Remastered],The Offspring,1994-04-08,197800,0,0.0943,0.514,0.884,1.52e-06,0.0654,-3.765,0.151,158.262,4
38,Celebrity Skin,Celebrity Skin,Hole,1998-01-01,162666,68,9.44e-06,0.438,0.905,5.4e-05,0.363,-6.161,0.0419,134.163,4
39,No Rain,Blind Melon,Blind Melon,1992-01-01,217106,74,0.619,0.389,0.476,5.09e-05,0.255,-9.342,0.0316,148.117,4
40,Hard To Handle,Shake Your Money Maker,The Black Crowes,1990-02-13,188066,71,0.00257,0.599,0.79,0.00181,0.312,-3.58,0.043,103.783,4
41,Just A Girl,The Singles Collection,No Doubt,2003-01-01,205946,55,0.0741,0.635,0.937,7.29e-05,0.134,-2.86,0.0452,108.003,4
42,Santeria,Sublime (Explicit Version),Sublime,1996-07-30,183200,0,0.0223,0.673,0.772,1.23e-06,0.141,-5.246,0.0427,90.356,4
43,Nothing Else Matters,Metallica,Metallica,1991-08-12,388733,1,0.0505,0.558,0.364,5.02e-06,0.0753,-11.258,0.0265,142.171,3
44,Lightning Crashes,Throwing Copper,Live,1994-01-01,325600,68,0.241,0.385,0.433,7.07e-06,0.11,-9.256,0.0435,89.974,4
45,What's My Age Again?,Enema Of The State,blink-182,1999-01-01,148573,0,0.017,0.403,0.956,7.09e-05,0.0893,-7.376,0.0732,157.706,4
46,Live And Let Die,Use Your Illusion I,Guns N' Roses,1991-09-17,182733,69,0.0109,0.262,0.777,0.113,0.12,-8.671,0.0632,152.5,4
47,You Oughta Know,Jagged Little Pill,Alanis Morissette,1995-06-09,249200,55,0.204,0.66,0.831,0.0,0.736,-8.195,0.0557,105.32,4
48,Semi-Charmed Life,Third Eye Blind,Third Eye Blind,1997-04-08,268360,74,0.00832,0.64,0.864,0.0,0.123,-6.576,0.0314,102.026,4
49,Heart-Shaped Box,In Utero - 20th Anniversary - Deluxe Edition,Nirvana,1993-09-21,281160,78,0.199,0.256,0.641,0.0329,0.0853,-10.283,0.0552,203.006,4
50,Karma Police,OK Computer,Radiohead,1997-05-28,264066,3,0.0626,0.36,0.505,9.22e-05,0.172,-9.129,0.026,74.807,4
51,Today - 2011 Remaster,Siamese Dream (Deluxe Edition),The Smashing Pumpkins,1993,201173,65,3.35e-05,0.456,0.826,0.57,0.0548,-7.611,0.0268,82.539,4
52,Epic,The Real Thing,Faith No More,1989,293653,68,0.0222,0.358,0.893,0.0524,0.126,-7.486,0.12,174.238,4
53,One,Achtung Baby (Deluxe Edition),U2,1991-11-18,276186,77,0.245,0.392,0.534,0.00104,0.155,-8.793,0.0369,181.305,4
54,Personal Jesus - Original Single Version,Personal Jesus,Depeche Mode,1989,224906,63,0.0112,0.637,0.682,0.0234,0.0473,-11.625,0.0366,129.983,4
55,Everlong,The Colour And The Shape,Foo Fighters,1997-05-20,250546,78,5.99e-05,0.413,0.881,0.000308,0.0805,-5.541,0.0367,158.066,4
56,Bulls On Parade,Evil Empire,Rage Against The Machine,1996-04-16,229466,74,0.0124,0.412,0.919,0.0601,0.424,-7.291,0.184,166.367,4
57,Bullet With Butterfly Wings,Mellon Collie And The Infinite Sadness,The Smashing Pumpkins,1995-10-24,257706,0,5.01e-05,0.389,0.705,0.86,0.09,-10.331,0.0553,122.154,4
58,Hunger Strike - 25th Anniversary Mix,Temple Of The Dog (Deluxe Edition),Temple Of The Dog,2016-04-16,246266,60,0.0252,0.384,0.735,2.76e-05,0.114,-6.522,0.0317,137.834,4
59,No Excuses,Jar Of Flies,Alice In Chains,1994,255573,64,0.0206,0.527,0.838,0.00062,0.07,-6.013,0.0323,117.454,4
60,"Hail, Hail",No Code,Pearl Jam,1996-08-06,221146,55,0.00137,0.355,0.953,3.93e-05,0.212,-4.4,0.0776,141.709,4
61,My Own Worst Enemy,My Own Worst Enemy,Lit,1999-03-02,169405,59,0.0252,0.427,0.952,0.0,0.407,-3.383,0.0565,103.523,4
62,Runaway Train,Grave Dancers Union,Soul Asylum,1992-01-01,265866,70,0.0132,0.613,0.72,0.0,0.104,-7.957,0.0425,117.341,4
63,Santa Monica,Sparkle And Fade,Everclear,1995-01-01,191506,71,0.156,0.491,0.942,0.0,0.367,-5.333,0.132,100.446,4
64,About A Girl,MTV Unplugged In New York,Nirvana,1994-11-01,218000,64,0.14,0.606,0.769,1.64e-05,0.841,-9.215,0.0713,121.042,4
